# # k [h/Mpc]  P_LCDM [(Mpc/h)^3]  P_SRC [(Mpc/h)^3]  deltaP_over_P
# # z = 0.5
1.1472030161e+00 3.1081734172e+01 3.1081171455e+01 -1.8104448606e-05
1.1622976555e+00 3.0281133839e+01 3.0280592825e+01 -1.7866376253e-05
1.1773922949e+00 2.9480533507e+01 2.9480014196e+01 -1.7615373279e-05
1.1924869343e+00 2.8679933174e+01 2.8679435567e+01 -1.7350356809e-05
1.2075815737e+00 2.7879332841e+01 2.7878856937e+01 -1.7070119582e-05
1.2226762131e+00 2.7078732508e+01 2.7078278308e+01 -1.6773311563e-05
1.2377708525e+00 2.6278132175e+01 2.6277699679e+01 -1.6458418195e-05
1.2528654919e+00 2.5477531842e+01 2.5477121049e+01 -1.6123734547e-05
1.2679601313e+00 2.4676931509e+01 2.4676542420e+01 -1.5767334437e-05
1.2830547707e+00 2.3876331177e+01 2.3875963791e+01 -1.5387033330e-05
1.2981494101e+00 2.3075730844e+01 2.3075385161e+01 -1.4980343530e-05
1.3132440495e+00 2.2275130511e+01 2.2274806532e+01 -1.4544419694e-05
1.3283386889e+00 2.1474530178e+01 2.1474227903e+01 -1.4075992164e-05
1.3434333283e+00 2.0920505845e+01 2.0920097885e+01 -1.9500469542e-05
1.3585279677e+00 2.0529848259e+01 2.0529450355e+01 -1.9381765113e-05
1.3736226071e+00 2.0139190674e+01 2.0138802824e+01 -1.9258455455e-05
1.3887172464e+00 1.9748533088e+01 1.9748155293e+01 -1.9130267274e-05
1.4038118858e+00 1.9357875502e+01 1.9357507762e+01 -1.8996905209e-05
1.4189065252e+00 1.8967217916e+01 1.8966860232e+01 -1.8858049572e-05
1.4340011646e+00 1.8576560331e+01 1.8576212701e+01 -1.8713353778e-05
1.4490958040e+00 1.8185902745e+01 1.8185565170e+01 -1.8562441464e-05
1.4641904434e+00 1.7795245159e+01 1.7794917640e+01 -1.8404903219e-05
1.4792850828e+00 1.7404587574e+01 1.7404270109e+01 -1.8240292872e-05
1.4943797222e+00 1.7013929988e+01 1.7013622578e+01 -1.8068123273e-05
1.5094743616e+00 1.6623272402e+01 1.6622975047e+01 -1.7887861483e-05
1.5245690010e+00 1.6232614816e+01 1.6232327517e+01 -1.7698923255e-05
1.5396636404e+00 1.5841957231e+01 1.5841679986e+01 -1.7500666714e-05
1.5547582798e+00 1.5451299645e+01 1.5451032455e+01 -1.7292385072e-05
1.5698529192e+00 1.5060642059e+01 1.5060384924e+01 -1.7073298207e-05
1.5849475586e+00 1.4669984474e+01 1.4669737394e+01 -1.6842542897e-05
1.6000421980e+00 1.4279326888e+01 1.4279089863e+01 -1.6599161459e-05
1.6151368374e+00 1.3888669302e+01 1.3888442332e+01 -1.6342088456e-05
1.6302314768e+00 1.3498011716e+01 1.3497794802e+01 -1.6070135111e-05
1.6453261162e+00 1.3107354131e+01 1.3107147271e+01 -1.5781970921e-05
1.6604207556e+00 1.2716696545e+01 1.2716499740e+01 -1.5476101893e-05
1.6755153950e+00 1.2326038959e+01 1.2325852209e+01 -1.5150844633e-05
1.6906100344e+00 1.2115252506e+01 1.2114993404e+01 -2.1386380952e-05
1.7057046738e+00 1.1933170218e+01 1.1932916787e+01 -2.1237491078e-05
1.7207993131e+00 1.1751087930e+01 1.1750840170e+01 -2.1083987127e-05
1.7358939525e+00 1.1569005642e+01 1.1568763553e+01 -2.0925651240e-05
1.7509885919e+00 1.1386923354e+01 1.1386686936e+01 -2.0762251622e-05
1.7660832313e+00 1.1204841066e+01 1.1204610319e+01 -2.0593541411e-05
1.7811778707e+00 1.1022758778e+01 1.1022533702e+01 -2.0419257433e-05
1.7962725101e+00 1.0840676491e+01 1.0840457085e+01 -2.0239118834e-05
1.8113671495e+00 1.0658594203e+01 1.0658380468e+01 -2.0052825568e-05
1.8264617889e+00 1.0476511915e+01 1.0476303851e+01 -1.9860056731e-05
1.8415564283e+00 1.0294429627e+01 1.0294227234e+01 -1.9660468712e-05
1.8566510677e+00 1.0112347339e+01 1.0112150616e+01 -1.9453693154e-05
1.8717457071e+00 9.9302650511e+00 9.9300739994e+00 -1.9239334684e-05
1.8868403465e+00 9.7481827632e+00 9.7479973823e+00 -1.9016968387e-05
1.9019349859e+00 9.5661004753e+00 9.5659207652e+00 -1.8786136997e-05
1.9170296253e+00 9.3840181874e+00 9.3838441481e+00 -1.8546347758e-05
1.9321242647e+00 9.2019358995e+00 9.2017675310e+00 -1.8297068913e-05
1.9472189041e+00 9.0198536116e+00 9.0196909140e+00 -1.8037725767e-05
1.9623135435e+00 8.8377713237e+00 8.8376142969e+00 -1.7767696263e-05
1.9774081829e+00 8.6556890358e+00 8.6555376798e+00 -1.7486306002e-05
1.9925028223e+00 8.4736067479e+00 8.4734610627e+00 -1.7192822618e-05
2.0075974617e+00 8.2915244600e+00 8.2913844456e+00 -1.6886449415e-05
2.0226921011e+00 8.1094421721e+00 8.1093078285e+00 -1.6566318143e-05
2.0377867404e+00 7.9273598842e+00 7.9272312115e+00 -1.6231480781e-05
2.0528813798e+00 7.7452775964e+00 7.7451545944e+00 -1.5880900160e-05
2.0679760192e+00 7.5631953085e+00 7.5630779773e+00 -1.5513439235e-05
2.0830706586e+00 7.3811130206e+00 7.3810013602e+00 -1.5127848760e-05
2.0981652980e+00 7.1990307327e+00 7.1989247431e+00 -1.4722753105e-05
2.1132599374e+00 7.0256408907e+00 7.0254936277e+00 -2.0960788959e-05
2.1283545768e+00 6.9418495050e+00 6.9417047400e+00 -2.0853950053e-05
2.1434492162e+00 6.8580581194e+00 6.8579158524e+00 -2.0744500443e-05
2.1585438556e+00 6.7742667338e+00 6.7741269648e+00 -2.0632343253e-05
2.1736384950e+00 6.6904753481e+00 6.6903380771e+00 -2.0517376754e-05
2.1887331344e+00 6.6066839625e+00 6.6065491895e+00 -2.0399494056e-05
2.2038277738e+00 6.5228925769e+00 6.5227603018e+00 -2.0278582777e-05
2.2189224132e+00 6.4391011912e+00 6.4389714142e+00 -2.0154524684e-05
2.2340170526e+00 6.3553098056e+00 6.3551825266e+00 -2.0027195312e-05
2.2491116920e+00 6.2715184200e+00 6.2713936389e+00 -1.9896463541e-05
2.2642063314e+00 6.1877270343e+00 6.1876047513e+00 -1.9762191149e-05
2.2793009708e+00 6.1039356487e+00 6.1038158636e+00 -1.9624232326e-05
2.2943956102e+00 6.0201442630e+00 6.0200269760e+00 -1.9482433142e-05
2.3094902496e+00 5.9363528774e+00 5.9362380883e+00 -1.9336630979e-05
2.3245848890e+00 5.8525614918e+00 5.8524492007e+00 -1.9186653904e-05
2.3396795284e+00 5.7687701061e+00 5.7686603131e+00 -1.9032319995e-05
2.3547741677e+00 5.6849787205e+00 5.6848714254e+00 -1.8873436604e-05
2.3698688071e+00 5.6011873349e+00 5.6010825378e+00 -1.8709799558e-05
2.3849634465e+00 5.5173959492e+00 5.5172936501e+00 -1.8541192277e-05
2.4000580859e+00 5.4336045636e+00 5.4335047625e+00 -1.8367384824e-05
2.4151527253e+00 5.3498131780e+00 5.3497158749e+00 -1.8188132858e-05
2.4302473647e+00 5.2660217923e+00 5.2659269872e+00 -1.8003176482e-05
2.4453420041e+00 5.1822304067e+00 5.1821380996e+00 -1.7812238994e-05
2.4604366435e+00 5.0984390211e+00 5.0983492119e+00 -1.7615025501e-05
2.4755312829e+00 5.0146476354e+00 5.0145603243e+00 -1.7411221398e-05
2.4906259223e+00 4.9308562498e+00 4.9307714367e+00 -1.7200490697e-05
2.5057205617e+00 4.8470648642e+00 4.8469825490e+00 -1.6982474178e-05
2.5208152011e+00 4.7632734785e+00 4.7631936614e+00 -1.6756787343e-05
2.5359098405e+00 4.6794820929e+00 4.6794047737e+00 -1.6523018155e-05
2.5510044799e+00 4.5956907073e+00 4.5956158861e+00 -1.6280724528e-05
2.5660991193e+00 4.5118993216e+00 4.5118269984e+00 -1.6029431533e-05
2.5811937587e+00 4.4281079360e+00 4.4280381108e+00 -1.5768628297e-05
2.5962883981e+00 4.3443165504e+00 4.3442492232e+00 -1.5497764531e-05
2.6113830375e+00 4.2605251647e+00 4.2604603355e+00 -1.5216246655e-05
2.6264776769e+00 4.1767337791e+00 4.1766714479e+00 -1.4923433459e-05
2.6415723163e+00 4.0929423935e+00 4.0928825602e+00 -1.4618631223e-05
2.6566669557e+00 4.0091510078e+00 4.0090936726e+00 -1.4301088235e-05
2.6717615950e+00 3.9646423758e+00 3.9645591569e+00 -2.0990260429e-05
2.6868562344e+00 3.9264434462e+00 3.9263614115e+00 -2.0892886781e-05
2.7019508738e+00 3.8882445167e+00 3.8881636661e+00 -2.0793599893e-05
2.7170455132e+00 3.8500455871e+00 3.8499659206e+00 -2.0692342820e-05
2.7321401526e+00 3.8118466576e+00 3.8117681752e+00 -2.0589056331e-05
2.7472347920e+00 3.7736477280e+00 3.7735704298e+00 -2.0483678796e-05
2.7623294314e+00 3.7354487984e+00 3.7353726844e+00 -2.0376146068e-05
2.7774240708e+00 3.6972498689e+00 3.6971749390e+00 -2.0266391344e-05
2.7925187102e+00 3.6590509393e+00 3.6589771936e+00 -2.0154345036e-05
2.8076133496e+00 3.6208520098e+00 3.6207794481e+00 -2.0039934616e-05
2.8227079890e+00 3.5826530802e+00 3.5825817027e+00 -1.9923084465e-05
2.8378026284e+00 3.5444541507e+00 3.5443839573e+00 -1.9803715702e-05
2.8528972678e+00 3.5062552211e+00 3.5061862119e+00 -1.9681746012e-05
2.8679919072e+00 3.4680562916e+00 3.4679884665e+00 -1.9557089449e-05
2.8830865466e+00 3.4298573620e+00 3.4297907211e+00 -1.9429656242e-05
2.8981811860e+00 3.3916584325e+00 3.3915929757e+00 -1.9299352574e-05
2.9132758254e+00 3.3534595029e+00 3.3533952302e+00 -1.9166080353e-05
2.9283704648e+00 3.3152605734e+00 3.3151974848e+00 -1.9029736967e-05
2.9434651042e+00 3.2770616438e+00 3.2769997394e+00 -1.8890215020e-05
2.9585597436e+00 3.2388627143e+00 3.2388019940e+00 -1.8747402047e-05
2.9736543830e+00 3.2006637847e+00 3.2006042486e+00 -1.8601180217e-05
2.9887490224e+00 3.1624648551e+00 3.1624065032e+00 -1.8451426005e-05
3.0038436617e+00 3.1242659256e+00 3.1242087577e+00 -1.8298009845e-05
3.0189383011e+00 3.0860669960e+00 3.0860110123e+00 -1.8140795754e-05
3.0340329405e+00 3.0478680665e+00 3.0478132669e+00 -1.7979640935e-05
3.0491275799e+00 3.0096691369e+00 3.0096155215e+00 -1.7814395340e-05
3.0642222193e+00 2.9714702074e+00 2.9714177761e+00 -1.7644901205e-05
3.0793168587e+00 2.9332712778e+00 2.9332200307e+00 -1.7470992548e-05
3.0944114981e+00 2.8950723483e+00 2.8950222852e+00 -1.7292494629e-05
3.1095061375e+00 2.8568734187e+00 2.8568245398e+00 -1.7109223358e-05
3.1246007769e+00 2.8186744892e+00 2.8186267944e+00 -1.6920984670e-05
3.1396954163e+00 2.7804755596e+00 2.7804290490e+00 -1.6727573834e-05
3.1547900557e+00 2.7422766301e+00 2.7422313036e+00 -1.6528774710e-05
3.1698846951e+00 2.7040777005e+00 2.7040335582e+00 -1.6324358948e-05
3.1849793345e+00 2.6658787710e+00 2.6658358128e+00 -1.6114085107e-05
