# # k [h/Mpc]  P_LCDM [(Mpc/h)^3]  P_SRC [(Mpc/h)^3]  deltaP_over_P
# # z = 0.0
1.0422083430e-05 4.8342043382e+01 4.8298667476e+01 -8.9727084287e-04
1.5105061479e-02 2.5027084951e+04 2.5004688131e+04 -8.9490326289e-04
3.0199700874e-02 2.0069795952e+04 2.0051779560e+04 -8.9768686181e-04
4.5294340269e-02 1.3778148661e+04 1.3765801429e+04 -8.9614592809e-04
6.0388979665e-02 1.1085553961e+04 1.1075649400e+04 -8.9346561199e-04
7.5483619060e-02 9.0972578046e+03 9.0892199051e+03 -8.8355190394e-04
9.0578258455e-02 6.7510044809e+03 6.7449577658e+03 -8.9567636932e-04
1.0567289785e-01 5.1674728106e+03 5.1628421820e+03 -8.9611086132e-04
1.2076753725e-01 4.4969860888e+03 4.4929691699e+03 -8.9324689867e-04
1.3586217664e-01 3.9222026172e+03 3.9186965269e+03 -8.9390851348e-04
1.5095681604e-01 3.1658138723e+03 3.1629887683e+03 -8.9237842071e-04
1.6605145543e-01 2.5888583571e+03 2.5865392562e+03 -8.9580058112e-04
1.8114609483e-01 2.3047750630e+03 2.3027164440e+03 -8.9319737539e-04
1.9624073422e-01 2.0826497991e+03 2.0807940179e+03 -8.9106730703e-04
2.1133537362e-01 1.7893239515e+03 1.7877264691e+03 -8.9278546421e-04
2.2643001301e-01 1.5290621073e+03 1.5277020609e+03 -8.8946446659e-04
2.4152465241e-01 1.3693253269e+03 1.3680975144e+03 -8.9665506210e-04
2.5661929180e-01 1.2544307423e+03 1.2533222992e+03 -8.8362246393e-04
2.7171393120e-01 1.1237416569e+03 1.1227427882e+03 -8.8887749393e-04
2.8680857059e-01 9.9374877109e+02 9.9285792263e+02 -8.9645238166e-04
3.0190320999e-01 8.9759259765e+02 8.9678759485e+02 -8.9684652441e-04
3.1699784938e-01 8.2660756423e+02 8.2587361212e+02 -8.8790876872e-04
