# # k [h/Mpc]  P_LCDM [(Mpc/h)^3]  P_SRC [(Mpc/h)^3]  deltaP_over_P
# # z = 1.0
1.0422083430e-05 1.7877570832e+01 1.7877609040e+01 2.1371831662e-06
1.5105061479e-02 9.2668029037e+03 9.2668028161e+03 -9.4559987688e-09
3.0199700874e-02 7.4313337540e+03 7.4313335602e+03 -2.6079601545e-08
4.5294340269e-02 5.1017671197e+03 5.1017651280e+03 -3.9040199176e-07
6.0388979665e-02 4.1047029678e+03 4.1047032590e+03 7.0941409112e-08
7.5483619060e-02 3.3684943932e+03 3.3684942850e+03 -3.2120642747e-08
9.0578258455e-02 2.4997212010e+03 2.4997204024e+03 -3.1949286157e-07
1.0567289785e-01 1.9133609349e+03 1.9133621690e+03 6.4500819498e-07
1.2076753725e-01 1.6651730521e+03 1.6651734757e+03 2.5443715862e-07
1.3586217664e-01 1.4523316113e+03 1.4523320023e+03 2.6918507395e-07
1.5095681604e-01 1.1722508088e+03 1.1722506261e+03 -1.5584535470e-07
1.6605145543e-01 9.5858058885e+02 9.5858077842e+02 1.9775311469e-07
1.8114609483e-01 8.5341055180e+02 8.5341061904e+02 7.8792264933e-08
1.9624073422e-01 7.7115135471e+02 7.7115126839e+02 -1.1193180739e-07
2.1133537362e-01 6.6255983950e+02 6.6255981805e+02 -3.2375793396e-08
2.2643001301e-01 5.6617711098e+02 5.6617719914e+02 1.5571220656e-07
2.4152465241e-01 5.0703268181e+02 5.0703271001e+02 5.5618928002e-08
2.5661929180e-01 4.6450295952e+02 4.6450282447e+02 -2.9075769239e-07
2.7171393120e-01 4.1610670181e+02 4.1610681376e+02 2.6904841737e-07
2.8680857059e-01 3.6795247609e+02 3.6795249371e+02 4.7893848365e-08
3.0190320999e-01 3.3234917984e+02 3.3234930830e+02 3.8654122596e-07
3.1699784938e-01 3.0607301666e+02 3.0607345120e+02 1.4197248489e-06
3.3209248878e-01 2.8038050440e+02 2.8038100320e+02 1.7789959169e-06
3.4718712818e-01 2.5450735842e+02 2.5450758588e+02 8.9375488850e-07
3.6228176757e-01 2.3252636871e+02 2.3252588756e+02 -2.0691889134e-06
3.7737640697e-01 2.1513992792e+02 2.1513986051e+02 -3.1332306697e-07
3.9247104636e-01 1.9941993711e+02 1.9941997070e+02 1.6847338035e-07
4.0756568576e-01 1.8417451032e+02 1.8417457602e+02 3.5676665763e-07
4.2266032515e-01 1.7031812125e+02 1.7031813112e+02 5.7981782874e-08
4.3775496455e-01 1.5844596419e+02 1.5844597857e+02 9.0713497356e-08
4.5284960394e-01 1.4798280945e+02 1.4798282931e+02 1.3420863634e-07
4.6794424334e-01 1.3818559905e+02 1.3818555463e+02 -3.2149735554e-07
4.8303888273e-01 1.2904794509e+02 1.2904799999e+02 4.2541422622e-07
4.9813352213e-01 1.2085143906e+02 1.2085142126e+02 -1.4733959660e-07
5.1322816152e-01 1.1352957461e+02 1.1352958195e+02 6.4690672669e-08
5.2832280092e-01 1.0678316253e+02 1.0678316321e+02 6.3438670433e-09
5.4341744031e-01 1.0047863018e+02 1.0047863445e+02 4.2479410605e-08
5.5851207971e-01 9.4691435876e+01 9.4691431730e+01 -4.3789006782e-08
5.7360671910e-01 8.9553777151e+01 8.9553772449e+01 -5.2507104523e-08
5.8870135850e-01 8.4597811972e+01 8.4597818746e+01 8.0073003503e-08
6.0379599789e-01 8.0178086853e+01 8.0178083862e+01 -3.7312034702e-08
6.1889063729e-01 7.5869310420e+01 7.5869315123e+01 6.1990323729e-08
6.3398527669e-01 7.2088954078e+01 7.2088947655e+01 -8.9096200955e-08
6.4907991608e-01 6.8438895088e+01 6.8438899115e+01 5.8842984357e-08
6.6417455548e-01 6.5063296712e+01 6.5063286033e+01 -1.6413907192e-07
6.7926919487e-01 6.2009269774e+01 6.2009263314e+01 -1.0417106878e-07
6.9436383427e-01 5.8955242836e+01 5.8955240596e+01 -3.7990084926e-08
7.0945847366e-01 5.6287515429e+01 5.6287496532e+01 -3.3572602756e-07
7.2455311306e-01 5.3810801091e+01 5.3810794392e+01 -1.2450102275e-07
7.3964775245e-01 5.1334086753e+01 5.1334092251e+01 1.0710591687e-07
7.5474239185e-01 4.8963471906e+01 4.8963456991e+01 -3.0461529473e-07
