# # k [h/Mpc]  P_LCDM [(Mpc/h)^3]  P_SRC [(Mpc/h)^3]  deltaP_over_P
# # z = 2.0
1.0422083430e-05 8.4513058728e+00 8.4513239922e+00 2.1439670907e-06
1.5105061479e-02 4.3871226156e+03 4.3871226172e+03 3.7003458731e-10
3.0199700874e-02 3.5181972825e+03 3.5181972417e+03 -1.1612544449e-08
4.5294340269e-02 2.4153329927e+03 2.4153320728e+03 -3.8089629041e-07
6.0388979665e-02 1.9432727251e+03 1.9432728782e+03 7.8777381460e-08
7.5483619060e-02 1.5947299246e+03 1.5947298993e+03 -1.5858640574e-08
9.0578258455e-02 1.1834454670e+03 1.1834451070e+03 -3.0420210253e-07
1.0567289785e-01 9.0584989520e+02 9.0585049056e+02 6.5723754897e-07
1.2076753725e-01 7.8833711271e+02 7.8833731999e+02 2.6293236513e-07
1.3586217664e-01 6.8757157646e+02 6.8757176794e+02 2.7848913374e-07
1.5095681604e-01 5.5497416803e+02 5.5497408311e+02 -1.5301109015e-07
1.6605145543e-01 4.5381944209e+02 4.5381953587e+02 2.0665983721e-07
1.8114609483e-01 4.0402676877e+02 4.0402682662e+02 1.4319514616e-07
1.9624073422e-01 3.6508206320e+02 3.6508202566e+02 -1.0283438703e-07
2.1133537362e-01 3.1367398014e+02 3.1367397214e+02 -2.5489100289e-08
2.2643001301e-01 2.6804388655e+02 2.6804393381e+02 1.7630495510e-07
2.4152465241e-01 2.4004470560e+02 2.4004472061e+02 6.2530597733e-08
2.5661929180e-01 2.1990810985e+02 2.1990804752e+02 -2.8347083281e-07
2.7171393120e-01 1.9699619538e+02 1.9699624989e+02 2.7671427068e-07
2.8680857059e-01 1.7420006701e+02 1.7420007716e+02 5.8259636037e-08
3.0190320999e-01 1.5734465640e+02 1.5734471780e+02 3.9018265159e-07
3.1699784938e-01 1.4490261230e+02 1.4490281919e+02 1.4278257289e-06
3.3209248878e-01 1.3273903028e+02 1.3273926752e+02 1.7872784911e-06
3.4718712818e-01 1.2049264329e+02 1.2049275211e+02 9.0314297361e-07
3.6228176757e-01 1.1008620538e+02 1.1008597898e+02 -2.0565371753e-06
3.7737640697e-01 1.0185302235e+02 1.0185299120e+02 -3.0582903366e-07
3.9247104636e-01 9.4410681372e+01 9.4410696239e+01 1.5747301298e-07
4.0756568576e-01 8.7193391957e+01 8.7193423906e+01 3.6641258830e-07
4.2266032515e-01 8.0634817823e+01 8.0634823434e+01 6.9582561266e-08
4.3775496455e-01 7.5012205598e+01 7.5012213014e+01 9.8856008000e-08
4.5284960394e-01 7.0058830346e+01 7.0058840276e+01 1.4174643278e-07
4.6794424334e-01 6.5420944363e+01 6.5420923954e+01 -3.1197711119e-07
4.8303888273e-01 6.1094449259e+01 6.1094475766e+01 4.3386305154e-07
4.9813352213e-01 5.7214030223e+01 5.7214022349e+01 -1.3761624057e-07
5.1322816152e-01 5.3747679485e+01 5.3747683500e+01 7.4699716148e-08
5.2832280092e-01 5.0553771438e+01 5.0553772158e+01 1.4247225903e-08
5.4341744031e-01 4.7569039008e+01 4.7569041441e+01 5.1156094807e-08
5.5851207971e-01 4.4829244046e+01 4.4829242537e+01 -3.3642884804e-08
5.7360671910e-01 4.2396950989e+01 4.2396949278e+01 -4.0347071988e-08
5.8870135850e-01 4.0050673225e+01 4.0050677053e+01 9.5559219865e-08
6.0379599789e-01 3.7958267952e+01 3.7958267060e+01 -2.3497649560e-08
6.1889063729e-01 3.5918389189e+01 3.5918391803e+01 7.2768662219e-08
6.3398527669e-01 3.4128676213e+01 3.4128673517e+01 -7.9014463006e-08
6.4907991608e-01 3.2400648892e+01 3.2400651123e+01 6.8848196618e-08
6.6417455548e-01 3.0802558225e+01 3.0802553477e+01 -1.5412588361e-07
6.7926919487e-01 2.9356707676e+01 2.9356704916e+01 -9.4033385422e-08
6.9436383427e-01 2.7910857128e+01 2.7910856354e+01 -2.7715010712e-08
7.0945847366e-01 2.6647889884e+01 2.6647881213e+01 -3.2542775700e-07
7.2455311306e-01 2.5475352731e+01 2.5475349820e+01 -1.1424516382e-07
7.3964775245e-01 2.4302815577e+01 2.4302818428e+01 1.1731526878e-07
7.5474239185e-01 2.3180508524e+01 2.3180501697e+01 -2.9448522039e-07
7.6983703124e-01 2.2267615139e+01 2.2267612172e+01 -1.3323391929e-07
7.8493167064e-01 2.1354721755e+01 2.1354722647e+01 4.1804051195e-08
8.0002631003e-01 2.0441828370e+01 2.0441833122e+01 2.3247575095e-07
8.1512094943e-01 1.9528934986e+01 1.9528943598e+01 4.4097360816e-07
8.3021558882e-01 1.8762872096e+01 1.8762864441e+01 -4.0800615544e-07
8.4531022822e-01 1.8100286092e+01 1.8100282053e+01 -2.2319211139e-07
8.6040486761e-01 1.7437700089e+01 1.7437699664e+01 -2.4333187965e-08
8.7549950701e-01 1.6775114085e+01 1.6775117276e+01 1.9023485559e-07
8.9059414641e-01 1.6112528081e+01 1.6112534887e+01 4.2245000996e-07
9.0568878580e-01 1.5449942077e+01 1.5449952499e+01 6.7458271584e-07
9.2078342520e-01 1.4787356073e+01 1.4787370111e+01 9.4931034702e-07
9.3587806459e-01 1.4341867671e+01 1.4341856553e+01 -7.7521623594e-07
9.5097270399e-01 1.3913700481e+01 1.3913692527e+01 -5.7164195713e-07
9.6606734338e-01 1.3485533291e+01 1.3485528502e+01 -3.5514066596e-07
9.8116198278e-01 1.3057366101e+01 1.3057364476e+01 -1.2444068465e-07
9.9625662217e-01 1.2629198911e+01 1.2629200451e+01 1.2190212011e-07
1.0113512616e+00 1.2201031721e+01 1.2201036425e+01 3.8553459479e-07
1.0264459010e+00 1.1772864532e+01 1.1772872400e+01 6.6834316303e-07
1.0415405404e+00 1.1344697342e+01 1.1344708374e+01 9.7249903500e-07
1.0566351798e+00 1.0916530152e+01 1.0916544349e+01 1.3005140571e-06
1.0717298191e+00 1.0488362962e+01 1.0488380324e+01 1.6553102403e-06
1.0868244585e+00 1.0126453778e+01 1.0126436137e+01 -1.7421351545e-06
1.1019190979e+00 9.8899817564e+00 9.8899664635e+00 -1.5462960274e-06
1.1170137373e+00 9.6535097343e+00 9.6534967902e+00 -1.3408623646e-06
1.1321083767e+00 9.4170377121e+00 9.4170271169e+00 -1.1251113775e-06
1.1472030161e+00 9.1805656900e+00 9.1805574436e+00 -8.9824580946e-07
